2024-07-28 14:20:16 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 0%, Battery external: 62%, charger: Standard
2024-07-28 14:20:26 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 0%, Battery external: 64%, charger: Standard
2024-07-28 14:24:04 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 0%, Battery external: 62%, charger: Standard
2024-07-28 14:34:04 Behaviour internal: auto, Behaviour external: auto, Battery internal: 0%, Battery external: 64%, charger: Standard
2024-07-28 14:44:04 Behaviour internal: auto, Behaviour external: auto, Battery internal: 6%, Battery external: 63%, charger: Standard
2024-07-28 14:54:04 Behaviour internal: auto, Behaviour external: auto, Battery internal: 10%, Battery external: 63%, charger: Standard
2024-07-28 15:04:04 Behaviour internal: auto, Behaviour external: auto, Battery internal: 14%, Battery external: 63%, charger: Standard
2024-07-28 15:14:04 Behaviour internal: auto, Behaviour external: auto, Battery internal: 17%, Battery external: 63%, charger: Standard
2024-07-28 15:24:04 Behaviour internal: auto, Behaviour external: auto, Battery internal: 20%, Battery external: 63%, charger: Standard
2024-07-28 17:24:14 Behaviour internal: auto, Behaviour external: auto, Battery internal: 99%, Battery external: 63%, charger: Standard
2024-07-28 17:34:14 Behaviour internal: auto, Behaviour external: auto, Battery internal: 100%, Battery external: 63%, charger: Standard
2024-07-28 18:32:36 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 99%, Battery external: 84%, charger: N/A
2024-07-28 18:42:36 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 99%, Battery external: 76%, charger: Standard
2024-07-28 18:56:41 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 99%, Battery external: 79%, charger: Standard
2024-07-28 19:06:41 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 98%, Battery external: 80%, charger: Standard
2024-07-28 19:16:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 98%, Battery external: 83%, charger: Standard
2024-07-28 19:26:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 98%, Battery external: 84%, charger: Standard
2024-07-28 19:36:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 97%, Battery external: 86%, charger: Standard
2024-07-28 19:46:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 97%, Battery external: 88%, charger: Standard
2024-07-28 19:56:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 96%, Battery external: 91%, charger: Standard
2024-07-28 20:06:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 96%, Battery external: 92%, charger: Standard
2024-07-28 20:16:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 96%, Battery external: 94%, charger: Standard
2024-07-28 20:26:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 95%, Battery external: 95%, charger: Standard
2024-07-28 20:36:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 95%, Battery external: 96%, charger: Standard
2024-07-28 20:46:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 95%, Battery external: 98%, charger: Standard
2024-07-28 20:56:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 94%, Battery external: 99%, charger: Standard
2024-07-28 21:06:42 Behaviour internal: inhibit-charge, Behaviour external: auto, Battery internal: 94%, Battery external: 100%, charger: Standard
2024-07-28 21:16:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 100%, charger: N/A
2024-07-28 21:26:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 100%, charger: N/A
2024-07-28 21:36:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 100%, charger: N/A
2024-07-28 21:46:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 100%, charger: N/A
2024-07-28 21:56:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 100%, charger: N/A
2024-07-28 22:06:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 100%, charger: N/A
2024-07-28 22:16:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 100%, charger: N/A
2024-07-28 22:26:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 100%, charger: N/A
2024-07-28 22:36:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 100%, charger: N/A
2024-07-28 22:46:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 100%, charger: N/A
2024-07-28 22:56:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 100%, charger: N/A
2024-07-28 23:06:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 100%, charger: N/A
2024-07-28 23:16:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 100%, charger: N/A
2024-07-28 23:26:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 100%, charger: N/A
2024-07-28 23:36:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 100%, charger: N/A
2024-07-28 23:46:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 100%, charger: N/A
2024-07-28 23:56:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 87%, Battery external: 100%, charger: N/A
