2025-01-13 17:58:19 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:58:54 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:10 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:16 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:22 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:28 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:34 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:40 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:46 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:52 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 17:59:58 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:00:04 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:00:10 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:00:16 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:00:22 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:00:28 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:00:34 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:00:37 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:00:43 Behaviour internal: [auto] inhibit-charge, Battery internal: 86%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:02:34 Behaviour internal: [auto] inhibit-charge, Battery internal: 87%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:02:40 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:02:46 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:02:52 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:02:58 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:03:04 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:03:10 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
